    n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
  443,         49933,           49501,          21004,      3356,        3918,       3000
  444,         50193,           49760,          21004,      3359,        3928,       1999
  445,         50601,           50167,          21004,      3372,        3938,       3000
  446,         50782,           50347,          21294,      3385,        3948,       3001
  447,         51159,           50723,          22005,      3386,        3958,       3000
  448,         51308,           50871,          22004,      3410,        3968,       3000
  449,         51363,           50925,          22005,      3418,        3978,       3000
  450,         51394,           50955,          22004,      3423,        3988,       3000
  451,         51401,           50961,          22004,      3427,        3998,       3000
  452,         51515,           51074,          22004,      3437,        4008,       2000
  453,         51930,           51488,          23004,      3446,        4018,       3001
  454,         52176,           51733,          22004,      3461,        4028,       3000
  455,         52589,           52145,          23005,      3465,        4038,       3001
  456,         52903,           52458,          23004,      3472,        4048,       3000
  457,         52988,           52542,          23005,      3483,        4058,       3000
  458,         53017,           52570,          22004,      3480,        4068,       3000
  459,         53193,           52745,          22009,      3500,        4078,       3000
  460,         53480,           53031,          23005,      3520,        4088,       2999
  461,         53649,           53199,          23005,      3532,        4098,       3000
  462,         53932,           53481,          23004,      3532,        4108,       3000
  463,         54034,           53582,          23005,      3539,        4118,       3000
  464,         54168,           53715,          23005,      3540,        4128,       3000
  465,         54421,           53967,          23005,      3553,        4138,       3000
  466,         54542,           54087,          23005,      3552,        4148,       3000
  467,         54842,           54386,          23005,      3563,        4158,       3000
  468,         54883,           54426,          23004,      3588,        4168,       3002
  469,         55089,           54631,          24005,      3604,        4178,       2999
  470,         55213,           54754,          24005,      3598,        4188,       3000
  471,         55369,           54909,          24004,      3603,        4198,       3000
  472,         55444,           54983,          24006,      3603,        4208,       4000
  473,         55616,           55154,          24005,      3611,        4218,       3001
  474,         56043,           55580,          24005,      3621,        4228,       3000
  475,         56442,           55978,          24005,      3641,        4238,       3000
  476,         56719,           56254,          24005,      3639,        4248,       3000
  477,         56905,           56439,          25005,      3654,        4258,       3000
  478,         57219,           56752,          25005,      3663,        4268,       3001
  479,         57617,           57149,          25005,      3664,        4278,       3000
  480,         58037,           57568,          25005,      3697,        4288,       4000
  481,         58372,           57902,          25006,      3704,        4298,       3000
